,Unnamed: 0.1,Unnamed: 0,chunk,질의응답,vector,vector2
,,,"제5장  직  원

제29조(직원의 임면) ① 직원은 진흥재단 인사규정에 따라 이사장이 임면한다. 
  (
  ② 이사장은 필요한 경우에는 계약 또는 임시로 직원을 채용할 수 있다.
  ③ 진흥재단의 직제, 정원, 직원의 임면, 승진, 보수, 복무기준, 징계 등 필요한 사항은 따로 규정으로 정한다.

제30조(공무원의 파견요청 등) ① 이사장은 진흥재단의 업무수행을 위하여 관계행정기관에 파견을 요청하고자 하는 경우에는 과학기술정보통신부장관과 미리 협의하여야 한다. (
  ② 진흥재단은 제1항에 따라 협의를 요청하는 경우 파견인원․파견기간․파견요청사유 및 자격요건을 기재한 서류를 과학기술정보통신부장관에게 제출하여야 한다. 
  ( ( 
  ③ 이사장은 진흥재단에 파견된 공무원에게 그 직급에 상응하는 진흥재단의 직위를 부여할 수 있다. (
  ④ 제2항에 의한 공무원은 파견기간 중 이사장의 지휘․감독을 받으며 진흥재단의 정관 및 제 규정을 준수하고 그 직무를 성실히 수행하여야 한다. (",2. 진흥재단의 이사장이 공무원을 파견 요청하려면 어떤 절차를 거쳐야 하나요?,,
,,,"제5장  직  원

제29조(직원의 임면) ① 직원은 진흥재단 인사규정에 따라 이사장이 임면한다. 
  (
  ② 이사장은 필요한 경우에는 계약 또는 임시로 직원을 채용할 수 있다.
  ③ 진흥재단의 직제, 정원, 직원의 임면, 승진, 보수, 복무기준, 징계 등 필요한 사항은 따로 규정으로 정한다.

제30조(공무원의 파견요청 등) ① 이사장은 진흥재단의 업무수행을 위하여 관계행정기관에 파견을 요청하고자 하는 경우에는 과학기술정보통신부장관과 미리 협의하여야 한다. (
  ② 진흥재단은 제1항에 따라 협의를 요청하는 경우 파견인원․파견기간․파견요청사유 및 자격요건을 기재한 서류를 과학기술정보통신부장관에게 제출하여야 한다. 
  ( ( 
  ③ 이사장은 진흥재단에 파견된 공무원에게 그 직급에 상응하는 진흥재단의 직위를 부여할 수 있다. (
  ④ 제2항에 의한 공무원은 파견기간 중 이사장의 지휘․감독을 받으며 진흥재단의 정관 및 제 규정을 준수하고 그 직무를 성실히 수행하여야 한다. (",3. 파견된 공무원은 어떤 규정을 준수하며 직무를 수행해야 하나요?,,
21,21,,"제6장  보  칙

제31조(비밀엄수의 의무) 진흥재단의 임원이나 직원 또는 그 직에 있던 사람은 직무상 알게 된 비밀을 타인 또는 자기의 이익을 도모하기 위하여 타인에게 누설하거나 도용하여서는 아니 된다. (

제32조(정관의 변경) ① 진흥재단의 정관은 이사회의 의결을 거쳐 과학기술정보통신부장관의 인가를 받아 변경할 수 있다. (
  ② 제1항의 의결은 재적이사 3분의 2이상의 찬성으로 한다.

제33조(해산) ① 진흥재단을 해산하고자 할 때에는 이사회에서 재적이사 3분의 2이상의 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. 
  (
  ② 진흥재단이 해산하는 경우 잔여재산은 이사회의 의결을 거쳐 주무관청의 허가를 얻어 국가‧지방자치단체 또는 유사한 목적을 가진 다른 비영리법인에 귀속하도록 하며, 정관에 명시되지 않은 내용에 관해서는 「공익법인의 설립‧운영에 관한 법률」의 규정을 준용한다. (","1. 진흥재단의 임원이나 직원이 직무상 알게 된 비밀을 누설하거나 도용하는 경우에 대한 규정은 무엇인가요?

",,
,,,"제6장  보  칙

제31조(비밀엄수의 의무) 진흥재단의 임원이나 직원 또는 그 직에 있던 사람은 직무상 알게 된 비밀을 타인 또는 자기의 이익을 도모하기 위하여 타인에게 누설하거나 도용하여서는 아니 된다. (

제32조(정관의 변경) ① 진흥재단의 정관은 이사회의 의결을 거쳐 과학기술정보통신부장관의 인가를 받아 변경할 수 있다. (
  ② 제1항의 의결은 재적이사 3분의 2이상의 찬성으로 한다.

제33조(해산) ① 진흥재단을 해산하고자 할 때에는 이사회에서 재적이사 3분의 2이상의 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. 
  (
  ② 진흥재단이 해산하는 경우 잔여재산은 이사회의 의결을 거쳐 주무관청의 허가를 얻어 국가‧지방자치단체 또는 유사한 목적을 가진 다른 비영리법인에 귀속하도록 하며, 정관에 명시되지 않은 내용에 관해서는 「공익법인의 설립‧운영에 관한 법률」의 규정을 준용한다. (",2. 진흥재단의 정관 변경은 어떤 절차를 거치는지 설명해주세요.,,
,,,"제6장  보  칙

제31조(비밀엄수의 의무) 진흥재단의 임원이나 직원 또는 그 직에 있던 사람은 직무상 알게 된 비밀을 타인 또는 자기의 이익을 도모하기 위하여 타인에게 누설하거나 도용하여서는 아니 된다. (

제32조(정관의 변경) ① 진흥재단의 정관은 이사회의 의결을 거쳐 과학기술정보통신부장관의 인가를 받아 변경할 수 있다. (
  ② 제1항의 의결은 재적이사 3분의 2이상의 찬성으로 한다.

제33조(해산) ① 진흥재단을 해산하고자 할 때에는 이사회에서 재적이사 3분의 2이상의 의결을 거쳐 과학기술정보통신부장관의 승인을 얻어야 한다. 
  (
  ② 진흥재단이 해산하는 경우 잔여재산은 이사회의 의결을 거쳐 주무관청의 허가를 얻어 국가‧지방자치단체 또는 유사한 목적을 가진 다른 비영리법인에 귀속하도록 하며, 정관에 명시되지 않은 내용에 관해서는 「공익법인의 설립‧운영에 관한 법률」의 규정을 준용한다. (",3. 진흥재단이 해산될 경우 잔여재산은 어떻게 처리되는지 설명해주세요.,,
22,22,,"제34조(공고의 방법 등) 법령 또는 이 정관의 규정에 의하여 공고 또는 고시하여야 할 사항은 일간신문에 게재하여야 한다.

제35조(규정의 제정 등) 이 정관에 정하지 않은 사항으로서 진흥재단의 운영 및 사업에 필요한 사항은 이사장이 따로 정할 수 있다.  다만, 인사․급여․회계․직제규정 및 이사회가 필요하다고 인정하는 규정에 대하여는 이사회의 의결을 거쳐야 한다. (

제36조(위원회의 설치) 이사장은 진흥재단의 업무처리를 위해 필요하다고 인정될 때에는 위원회를 설치할 수 있다. (

제37조(자문기구의 운영) 진흥재단의 발전에 관한 주요사항 및 사업에 대하여 이사장의 자문에 응하게 하기 위하여 자문기구를 설치․운영할 수 있다. (","1) 법령 또는 정관의 규정에 따라 공고 또는 고시해야 할 사항은 어떤 방법으로 공지해야 하는가?

",,
,,,"제34조(공고의 방법 등) 법령 또는 이 정관의 규정에 의하여 공고 또는 고시하여야 할 사항은 일간신문에 게재하여야 한다.

제35조(규정의 제정 등) 이 정관에 정하지 않은 사항으로서 진흥재단의 운영 및 사업에 필요한 사항은 이사장이 따로 정할 수 있다.  다만, 인사․급여․회계․직제규정 및 이사회가 필요하다고 인정하는 규정에 대하여는 이사회의 의결을 거쳐야 한다. (

제36조(위원회의 설치) 이사장은 진흥재단의 업무처리를 위해 필요하다고 인정될 때에는 위원회를 설치할 수 있다. (

제37조(자문기구의 운영) 진흥재단의 발전에 관한 주요사항 및 사업에 대하여 이사장의 자문에 응하게 하기 위하여 자문기구를 설치․운영할 수 있다. (",2) 진흥재단의 운영 및 사업에 필요한 사항 중 이사회의 의결을 필요로 하는 규정은 무엇인가?,,
,,,"제34조(공고의 방법 등) 법령 또는 이 정관의 규정에 의하여 공고 또는 고시하여야 할 사항은 일간신문에 게재하여야 한다.

제35조(규정의 제정 등) 이 정관에 정하지 않은 사항으로서 진흥재단의 운영 및 사업에 필요한 사항은 이사장이 따로 정할 수 있다.  다만, 인사․급여․회계․직제규정 및 이사회가 필요하다고 인정하는 규정에 대하여는 이사회의 의결을 거쳐야 한다. (

제36조(위원회의 설치) 이사장은 진흥재단의 업무처리를 위해 필요하다고 인정될 때에는 위원회를 설치할 수 있다. (

제37조(자문기구의 운영) 진흥재단의 발전에 관한 주요사항 및 사업에 대하여 이사장의 자문에 응하게 하기 위하여 자문기구를 설치․운영할 수 있다. (",3) 이사장이 진흥재단의 업무처리를 위해 설치할 수 있는 기구는 무엇인가?,,
23,23,,"이사회운영규정


제1조(목적) 이 규정은 연구개발특구진흥재단(이하 “진흥재단”이라 한다) 정관 제28조의 규정에 의하여 이사회의 운영에 관하여 필요한 사항을 정함을 목적으로 한다. (

제2조(이사회의 구분) 이사회는 정기이사회와 임시이사회로 구분한다.

제3조(이사회의 소집) ① 정기이사회는 매년도 12월에 다음연도 사업계획 및 예산 심의를 위한 이사회(이하 “예산이사회”라 한다)를, 매년도 2월에 전년도 사업실적 및 결산 심의를 위한 이사회(이하 “결산이사회”라 한다)를 소집한다. (
  ② 임시이사회는 감사 또는 이사 과반수의 요구가 있거나 이사장이 필요하다고 인정할 때 이를 소집한다.
  ③ 이사장이 이사회를 소집하고자 할 때에는 회의개최 7일전에 일시, 장소 및 회의 목적을 서면으로 각 이사 및 감사에게 통지하여야 한다.
  ④ 이사장이 긴급을 요하는 사항이라고 인정한 때에는 회의개최 전일까지 제3항의 내용을 통지하고 이사회를 소집할 수 있다. (
  ⑤ 이사장이 유고시에는 당연직 이사 중 과학기술정보통신부 당연직 이사, 이사회에서 선임하는 자의 순서로 그 직무를 대행한다. (
  ⑥ 이사장은 원칙적으로 회의 개최 7일 전(안건이 다음 연도 예산안인 경우는 15일 전)까지 회의의 구성원에게 이사회의 안건을 송부하여야 한다. 다만, 긴급을 요하거나 부득이한 사유가 있을 때에는 그러하지 아니하다. (","1. 연구개발특구진흥재단의 이사회는 어떤 종류로 구분되나요?

",,
,,,"이사회운영규정


제1조(목적) 이 규정은 연구개발특구진흥재단(이하 “진흥재단”이라 한다) 정관 제28조의 규정에 의하여 이사회의 운영에 관하여 필요한 사항을 정함을 목적으로 한다. (

제2조(이사회의 구분) 이사회는 정기이사회와 임시이사회로 구분한다.

제3조(이사회의 소집) ① 정기이사회는 매년도 12월에 다음연도 사업계획 및 예산 심의를 위한 이사회(이하 “예산이사회”라 한다)를, 매년도 2월에 전년도 사업실적 및 결산 심의를 위한 이사회(이하 “결산이사회”라 한다)를 소집한다. (
  ② 임시이사회는 감사 또는 이사 과반수의 요구가 있거나 이사장이 필요하다고 인정할 때 이를 소집한다.
  ③ 이사장이 이사회를 소집하고자 할 때에는 회의개최 7일전에 일시, 장소 및 회의 목적을 서면으로 각 이사 및 감사에게 통지하여야 한다.
  ④ 이사장이 긴급을 요하는 사항이라고 인정한 때에는 회의개최 전일까지 제3항의 내용을 통지하고 이사회를 소집할 수 있다. (
  ⑤ 이사장이 유고시에는 당연직 이사 중 과학기술정보통신부 당연직 이사, 이사회에서 선임하는 자의 순서로 그 직무를 대행한다. (
  ⑥ 이사장은 원칙적으로 회의 개최 7일 전(안건이 다음 연도 예산안인 경우는 15일 전)까지 회의의 구성원에게 이사회의 안건을 송부하여야 한다. 다만, 긴급을 요하거나 부득이한 사유가 있을 때에는 그러하지 아니하다. (",2. 정기이사회와 임시이사회는 각각 어떤 경우에 소집되나요?,,
,,,"이사회운영규정


제1조(목적) 이 규정은 연구개발특구진흥재단(이하 “진흥재단”이라 한다) 정관 제28조의 규정에 의하여 이사회의 운영에 관하여 필요한 사항을 정함을 목적으로 한다. (

제2조(이사회의 구분) 이사회는 정기이사회와 임시이사회로 구분한다.

제3조(이사회의 소집) ① 정기이사회는 매년도 12월에 다음연도 사업계획 및 예산 심의를 위한 이사회(이하 “예산이사회”라 한다)를, 매년도 2월에 전년도 사업실적 및 결산 심의를 위한 이사회(이하 “결산이사회”라 한다)를 소집한다. (
  ② 임시이사회는 감사 또는 이사 과반수의 요구가 있거나 이사장이 필요하다고 인정할 때 이를 소집한다.
  ③ 이사장이 이사회를 소집하고자 할 때에는 회의개최 7일전에 일시, 장소 및 회의 목적을 서면으로 각 이사 및 감사에게 통지하여야 한다.
  ④ 이사장이 긴급을 요하는 사항이라고 인정한 때에는 회의개최 전일까지 제3항의 내용을 통지하고 이사회를 소집할 수 있다. (
  ⑤ 이사장이 유고시에는 당연직 이사 중 과학기술정보통신부 당연직 이사, 이사회에서 선임하는 자의 순서로 그 직무를 대행한다. (
  ⑥ 이사장은 원칙적으로 회의 개최 7일 전(안건이 다음 연도 예산안인 경우는 15일 전)까지 회의의 구성원에게 이사회의 안건을 송부하여야 한다. 다만, 긴급을 요하거나 부득이한 사유가 있을 때에는 그러하지 아니하다. (",3. 이사회를 소집하고자 할 때 이사장이 준수해야 하는 절차와 규정은 무엇인가요?,,
24,24,,"제4조(이사장) 이사장은 이사회를 소집하고, 그 의장이 된다.

제5조(의사) ① 이사회는 재적이사 과반수의 출석으로 개의한다.
  ② 이사회는 법령 또는 정관에 특별한 규정이 없는 한 출석이사 과반수의 찬성으로 의결한다.
  ③ 감사는 이사회에 출석하여 의견을 진술할 수 있다.

제6조(의결권의 위임) 당연직 이사는 그가 지명한 대리인에게 위임시켜 의결권을 행사하게 할 수 있다.

제7조(이사회의 의결 및 보고사항) ① 이사회는 다음 사항을 의결한다.
  1. 기구 및 직원의 정원에 관한 사항
  2. 지원시설, 부설기관, 분사무소, 해외사무소등의 설치에 관한 사항
  3. 매 회계연도의 사업계획 및 예산승인에 관한 사항
  4. 전년도의 결산승인에 관한 사항
  5. 임원의 선임 및 해임에 관한 사항
  6. 기본재산 또는 중요재산의 취득관리 및 처분에 관한 사항
  7. 차입금에 관한 사항
  8. 채권의 발행에 관한 사항
  9. 출자 및 출연에 관한 사항
  10. 정관의 변경에 관한 사항
  11. 중요한 규정의 제정 또는 변경에 관한 사항
  12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
  13. 전 각 호 이외의 사항으로서 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항","1. 이사회의 의장은 누가 되는가?

",,
,,,"제4조(이사장) 이사장은 이사회를 소집하고, 그 의장이 된다.

제5조(의사) ① 이사회는 재적이사 과반수의 출석으로 개의한다.
  ② 이사회는 법령 또는 정관에 특별한 규정이 없는 한 출석이사 과반수의 찬성으로 의결한다.
  ③ 감사는 이사회에 출석하여 의견을 진술할 수 있다.

제6조(의결권의 위임) 당연직 이사는 그가 지명한 대리인에게 위임시켜 의결권을 행사하게 할 수 있다.

제7조(이사회의 의결 및 보고사항) ① 이사회는 다음 사항을 의결한다.
  1. 기구 및 직원의 정원에 관한 사항
  2. 지원시설, 부설기관, 분사무소, 해외사무소등의 설치에 관한 사항
  3. 매 회계연도의 사업계획 및 예산승인에 관한 사항
  4. 전년도의 결산승인에 관한 사항
  5. 임원의 선임 및 해임에 관한 사항
  6. 기본재산 또는 중요재산의 취득관리 및 처분에 관한 사항
  7. 차입금에 관한 사항
  8. 채권의 발행에 관한 사항
  9. 출자 및 출연에 관한 사항
  10. 정관의 변경에 관한 사항
  11. 중요한 규정의 제정 또는 변경에 관한 사항
  12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
  13. 전 각 호 이외의 사항으로서 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항",2. 이사회의 의결은 어떤 방식으로 이루어지는가?,,
,,,"제4조(이사장) 이사장은 이사회를 소집하고, 그 의장이 된다.

제5조(의사) ① 이사회는 재적이사 과반수의 출석으로 개의한다.
  ② 이사회는 법령 또는 정관에 특별한 규정이 없는 한 출석이사 과반수의 찬성으로 의결한다.
  ③ 감사는 이사회에 출석하여 의견을 진술할 수 있다.

제6조(의결권의 위임) 당연직 이사는 그가 지명한 대리인에게 위임시켜 의결권을 행사하게 할 수 있다.

제7조(이사회의 의결 및 보고사항) ① 이사회는 다음 사항을 의결한다.
  1. 기구 및 직원의 정원에 관한 사항
  2. 지원시설, 부설기관, 분사무소, 해외사무소등의 설치에 관한 사항
  3. 매 회계연도의 사업계획 및 예산승인에 관한 사항
  4. 전년도의 결산승인에 관한 사항
  5. 임원의 선임 및 해임에 관한 사항
  6. 기본재산 또는 중요재산의 취득관리 및 처분에 관한 사항
  7. 차입금에 관한 사항
  8. 채권의 발행에 관한 사항
  9. 출자 및 출연에 관한 사항
  10. 정관의 변경에 관한 사항
  11. 중요한 규정의 제정 또는 변경에 관한 사항
  12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
  13. 전 각 호 이외의 사항으로서 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항",3. 이사회에서 의결되어야 하는 주요 사항들은 무엇인가?,,
25,25,,"제7조(이사회의 의결 및 보고사항) ① 이사회는 다음 사항을 의결한다.
  1. 기구 및 직원의 정원에 관한 사항
  2. 지원시설, 부설기관, 분사무소, 해외사무소등의 설치에 관한 사항
  3. 매 회계연도의 사업계획 및 예산승인에 관한 사항
  4. 전년도의 결산승인에 관한 사항
  5. 임원의 선임 및 해임에 관한 사항
  6. 기본재산 또는 중요재산의 취득관리 및 처분에 관한 사항
  7. 차입금에 관한 사항
  8. 채권의 발행에 관한 사항
  9. 출자 및 출연에 관한 사항
  10. 정관의 변경에 관한 사항
  11. 중요한 규정의 제정 또는 변경에 관한 사항
  12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
  13. 전 각 호 이외의 사항으로서 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항
  [제목변경 2018.05.02]

제7조의2(제척과 회피) ① 특구재단의 이사가 다음 각 호의 어느 하나에 해당하는 경우에는 해당 안건에 관한 이사회의 심의·의결에서 제척된다.
   1. 이사 또는 이사의 친족이나 친족이었던 사람과 이해관계가 있는 경우
   2. 이사가 최근 3년 이내에 해당 안건과 관련된 법인이나 단체 등에 재직하였던 경우
  ② 이사가 제1항 각 호의 어느 하나에 해당하는 경우에는 스스로 해당 안건의 심의·의결에서 회피하여야 한다.","1. 이사회가 의결해야 하는 사항들은 무엇인가요?

",,
,,,"제7조(이사회의 의결 및 보고사항) ① 이사회는 다음 사항을 의결한다.
  1. 기구 및 직원의 정원에 관한 사항
  2. 지원시설, 부설기관, 분사무소, 해외사무소등의 설치에 관한 사항
  3. 매 회계연도의 사업계획 및 예산승인에 관한 사항
  4. 전년도의 결산승인에 관한 사항
  5. 임원의 선임 및 해임에 관한 사항
  6. 기본재산 또는 중요재산의 취득관리 및 처분에 관한 사항
  7. 차입금에 관한 사항
  8. 채권의 발행에 관한 사항
  9. 출자 및 출연에 관한 사항
  10. 정관의 변경에 관한 사항
  11. 중요한 규정의 제정 또는 변경에 관한 사항
  12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
  13. 전 각 호 이외의 사항으로서 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항
  [제목변경 2018.05.02]

제7조의2(제척과 회피) ① 특구재단의 이사가 다음 각 호의 어느 하나에 해당하는 경우에는 해당 안건에 관한 이사회의 심의·의결에서 제척된다.
   1. 이사 또는 이사의 친족이나 친족이었던 사람과 이해관계가 있는 경우
   2. 이사가 최근 3년 이내에 해당 안건과 관련된 법인이나 단체 등에 재직하였던 경우
  ② 이사가 제1항 각 호의 어느 하나에 해당하는 경우에는 스스로 해당 안건의 심의·의결에서 회피하여야 한다.",2. 이사장이 이사회에 보고해야 하는 사항들은 무엇인가요?,,
,,,"제7조(이사회의 의결 및 보고사항) ① 이사회는 다음 사항을 의결한다.
  1. 기구 및 직원의 정원에 관한 사항
  2. 지원시설, 부설기관, 분사무소, 해외사무소등의 설치에 관한 사항
  3. 매 회계연도의 사업계획 및 예산승인에 관한 사항
  4. 전년도의 결산승인에 관한 사항
  5. 임원의 선임 및 해임에 관한 사항
  6. 기본재산 또는 중요재산의 취득관리 및 처분에 관한 사항
  7. 차입금에 관한 사항
  8. 채권의 발행에 관한 사항
  9. 출자 및 출연에 관한 사항
  10. 정관의 변경에 관한 사항
  11. 중요한 규정의 제정 또는 변경에 관한 사항
  12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
  13. 전 각 호 이외의 사항으로서 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항
  [제목변경 2018.05.02]

제7조의2(제척과 회피) ① 특구재단의 이사가 다음 각 호의 어느 하나에 해당하는 경우에는 해당 안건에 관한 이사회의 심의·의결에서 제척된다.
   1. 이사 또는 이사의 친족이나 친족이었던 사람과 이해관계가 있는 경우
   2. 이사가 최근 3년 이내에 해당 안건과 관련된 법인이나 단체 등에 재직하였던 경우
  ② 이사가 제1항 각 호의 어느 하나에 해당하는 경우에는 스스로 해당 안건의 심의·의결에서 회피하여야 한다.",3. 특구재단의 이사가 이사회의 심의·의결에서 제척되는 경우는 어떤 경우인가요?,,
26,26,,"제8조(서면의결) 제7조에 의한 이사회의 의결사항중 이사장이 경미하다고 인정하는 사항 및 긴급을 요하는 사항에 대하여는 이사회를 소집하지 아니하고, 서면으로 의결할 수 있다. 이 경우 그 결과를 이사 전원에게 즉시 통지하고, 차기이사회에 그 결과를 보고하여야 한다. (

제9조(소위원회) ① 이사회는 특히 필요하다고 인정한 안건을 심의하게 하기 위하여 소위원회를 둘 수 있다.
  ② 소위원회는 이사장이 지명하는 이사를 위원장으로 하여 5인 이내로 구성하고 심의 결과를 차기 이사회에 보고하여야 한다.

제10조(보조기구) ① 이사회는 진흥재단의 주요 정책개발 및 안건 심의를 보조하기 위하여 관련분야 전문가로 구성된 전문위원회를 설치 운영할 수 있다. (
  ② 제1항에 의거 구성되는 전문위원회는 이사장이 지명하는 이사를 위원장으로 하고 심의결과는 차기이사회에 보고하여야 한다.","1. 제8조에 따르면, 어떤 사항에 대해 이사회를 소집하지 않고 서면으로 의결할 수 있나요?

",,
,,,"제8조(서면의결) 제7조에 의한 이사회의 의결사항중 이사장이 경미하다고 인정하는 사항 및 긴급을 요하는 사항에 대하여는 이사회를 소집하지 아니하고, 서면으로 의결할 수 있다. 이 경우 그 결과를 이사 전원에게 즉시 통지하고, 차기이사회에 그 결과를 보고하여야 한다. (

제9조(소위원회) ① 이사회는 특히 필요하다고 인정한 안건을 심의하게 하기 위하여 소위원회를 둘 수 있다.
  ② 소위원회는 이사장이 지명하는 이사를 위원장으로 하여 5인 이내로 구성하고 심의 결과를 차기 이사회에 보고하여야 한다.

제10조(보조기구) ① 이사회는 진흥재단의 주요 정책개발 및 안건 심의를 보조하기 위하여 관련분야 전문가로 구성된 전문위원회를 설치 운영할 수 있다. (
  ② 제1항에 의거 구성되는 전문위원회는 이사장이 지명하는 이사를 위원장으로 하고 심의결과는 차기이사회에 보고하여야 한다.","2. 제9조에 따르면, 소위원회의 구성원 수는 몇 명인가요?",,
,,,"제8조(서면의결) 제7조에 의한 이사회의 의결사항중 이사장이 경미하다고 인정하는 사항 및 긴급을 요하는 사항에 대하여는 이사회를 소집하지 아니하고, 서면으로 의결할 수 있다. 이 경우 그 결과를 이사 전원에게 즉시 통지하고, 차기이사회에 그 결과를 보고하여야 한다. (

제9조(소위원회) ① 이사회는 특히 필요하다고 인정한 안건을 심의하게 하기 위하여 소위원회를 둘 수 있다.
  ② 소위원회는 이사장이 지명하는 이사를 위원장으로 하여 5인 이내로 구성하고 심의 결과를 차기 이사회에 보고하여야 한다.

제10조(보조기구) ① 이사회는 진흥재단의 주요 정책개발 및 안건 심의를 보조하기 위하여 관련분야 전문가로 구성된 전문위원회를 설치 운영할 수 있다. (
  ② 제1항에 의거 구성되는 전문위원회는 이사장이 지명하는 이사를 위원장으로 하고 심의결과는 차기이사회에 보고하여야 한다.","3. 제10조에 따르면, 이사회는 어떤 목적으로 전문위원회를 설치 운영할 수 있나요?",,
27,27,,"제11조(수당) 이사회에 참석한 이사에게는 이사장이 예산의 범위 내에서 수당을 지급할 수 있다.

제12조(간사 및 서기) ① 이사회에 간사 1인과 서기 1인을 둔다.
  ② 간사 및 서기는 진흥재단 직원 중에서 이사장이 지명한다. (

제13조(의사록) ① 이사회의 의사록 작성은 정관 제27조를 준용한다. (
  ② 소위원회의 의사록은 위원장 및 출석위원 2인 이상의 기명날인을 받아 보존하여야 하며, 그 사본을 각 소위원회 위원과 감사에게 배부하고 차기이사회 및 소위원회에 보고하여야 한다.

제14조(근로자 참관제) ① 노사협의회가 근로자위원 중에서 추천한 대표(이하 “참관인”이라 한다) 1인은 이사회에 참관할 수 있다.
  ② 제1항에 따라 추천받은 참관인은 안건의 심의·의결에 참여할 수 없다. 다만, 필요 시 이사장의 동의를 얻어 의견을 진술할 수 있다.
  ③ 참관인은 상법 제382조의4에 준하는 비밀유지의 의무를 지닌다.","1) 이사회에 참석한 이사에게 수당을 지급하는 규정은 어떤 조에 명시되어 있나요?

",,
,,,"제11조(수당) 이사회에 참석한 이사에게는 이사장이 예산의 범위 내에서 수당을 지급할 수 있다.

제12조(간사 및 서기) ① 이사회에 간사 1인과 서기 1인을 둔다.
  ② 간사 및 서기는 진흥재단 직원 중에서 이사장이 지명한다. (

제13조(의사록) ① 이사회의 의사록 작성은 정관 제27조를 준용한다. (
  ② 소위원회의 의사록은 위원장 및 출석위원 2인 이상의 기명날인을 받아 보존하여야 하며, 그 사본을 각 소위원회 위원과 감사에게 배부하고 차기이사회 및 소위원회에 보고하여야 한다.

제14조(근로자 참관제) ① 노사협의회가 근로자위원 중에서 추천한 대표(이하 “참관인”이라 한다) 1인은 이사회에 참관할 수 있다.
  ② 제1항에 따라 추천받은 참관인은 안건의 심의·의결에 참여할 수 없다. 다만, 필요 시 이사장의 동의를 얻어 의견을 진술할 수 있다.
  ③ 참관인은 상법 제382조의4에 준하는 비밀유지의 의무를 지닌다.",2) 이사회의 간사와 서기는 어떻게 선정되나요?,,
